ASTM Material,C,Mn,Si,P,S,Cr,Mo,Ni,N,Ti,Nb ,Al,Fe balance (%),Temperature,Behavior,Pitting_label,[H+] (mol/dm3),[OH-] (mol/dm3),[Cl-] (mol/dm3),[S2-] (mol/dm3)
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Poor,0,3.732,0,0,1.866
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Poor,0,3.732,0,0,1.866
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Good,0,3.732,0,0,1.866
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,3.732,0,0,1.866
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,3.732,0,0,1.866
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,3.732,0,0,1.866
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,3.732,0,0,1.866
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Good,0,3.732,0,0,1.866
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Good,0,3.732,0,0,1.866
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Good,0,3.732,0,0,1.866
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Good,0,3.732,0,0,1.866
403,0.15,1,0.5,0.04,0.03,11.5,0,0.6,0,0,0,0,86.18,20,Severe,0,3.732,0,0,3.732
405,0.08,1,1,0.04,0.03,11.5,0,0.6,0,0,0,0.1,85.65,20,Severe,0,3.732,0,0,3.732
S41050,0.04,1,1,0.045,0.03,10.5,0,0.6,0.1,0,0,0,86.685,20,Severe,0,3.732,0,0,3.732
416,0.15,1.25,1,0.06,0.35,12,0,0,0,0,0,0,85.19,20,Severe,0,3.732,0,0,3.732
410,0.15,1,1,0.04,0.03,11.5,0,0.75,0,0,0,0,85.53,20,Severe,0,3.732,0,0,3.732
420,0.15,1,1,0.04,0.03,12,0.5,0.75,0,0,0,0,84.53,20,Severe,0,3.732,0,0,3.732
430F,0.12,1.3,1,0.06,0.35,16,0,0,0,0,0,0,81.17,20,Severe,0,3.732,0,0,3.732
440C,1.2,1,1,0.04,0.03,16,0.75,0,0,0,0,0,79.98,20,Severe,0,3.732,0,0,3.732
S41500,0.05,1,0.6,0.03,0.03,11.5,0.5,3.5,0,0,0,0,82.79,20,Severe,0,3.732,0,0,3.732
409,0.03,1,1,0.04,0.02,11.5,0,0.5,0.03,0.36,0.17,0,85.35,20,Severe,0,3.732,0,0,3.732
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Severe,0,3.732,0,0,3.732
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Severe,0,3.732,0,0,3.732
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Severe,0,3.732,0,0,3.732
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Severe,0,3.732,0,0,3.732
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Severe,0,3.732,0,0,3.732
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Severe,0,3.732,0,0,3.732
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Severe,0,3.732,0,0,3.732
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Good,0,3.732,0,0,3.732
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Good,0,3.732,0,0,3.732
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Good,0,3.732,0,0,3.732
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Good,0,3.732,0,0,3.732
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Good,0,3.732,0,0,3.732
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Good,0,3.732,0,0,3.732
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Good,0,3.732,0,0,3.732
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Good,0,3.732,0,0,3.732
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Good,0,3.732,0,0,3.732
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,3.732,0,0,3.732
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,3.732,0,0,3.732
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,3.732,0,0,3.732
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,3.732,0,0,3.732
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Good,0,3.732,0,0,3.732
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Good,0,3.732,0,0,3.732
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Good,0,3.732,0,0,3.732
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Good,0,3.732,0,0,3.732
403,0.15,1,0.5,0.04,0.03,11.5,0,0.6,0,0,0,0,86.18,20,Severe,0,7.463,0,0,7.464
405,0.08,1,1,0.04,0.03,11.5,0,0.6,0,0,0,0.1,85.65,20,Severe,0,7.463,0,0,7.464
S41050,0.04,1,1,0.045,0.03,10.5,0,0.6,0.1,0,0,0,86.685,20,Severe,0,7.463,0,0,7.464
416,0.15,1.25,1,0.06,0.35,12,0,0,0,0,0,0,85.19,20,Severe,0,7.463,0,0,7.464
410,0.15,1,1,0.04,0.03,11.5,0,0.75,0,0,0,0,85.53,20,Severe,0,7.463,0,0,7.464
420,0.15,1,1,0.04,0.03,12,0.5,0.75,0,0,0,0,84.53,20,Severe,0,7.463,0,0,7.464
430F,0.12,1.3,1,0.06,0.35,16,0,0,0,0,0,0,81.17,20,Severe,0,7.463,0,0,7.464
440C,1.2,1,1,0.04,0.03,16,0.75,0,0,0,0,0,79.98,20,Severe,0,7.463,0,0,7.464
S41500,0.05,1,0.6,0.03,0.03,11.5,0.5,3.5,0,0,0,0,82.79,20,Severe,0,7.463,0,0,7.464
409,0.03,1,1,0.04,0.02,11.5,0,0.5,0.03,0.36,0.17,0,85.35,20,Severe,0,7.463,0,0,7.464
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Severe,0,7.463,0,0,7.464
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Severe,0,7.463,0,0,7.464
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Severe,0,7.463,0,0,7.464
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Severe,0,7.463,0,0,7.464
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Severe,0,7.463,0,0,7.464
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Severe,0,7.463,0,0,7.464
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Severe,0,7.463,0,0,7.464
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Good,0,7.463,0,0,7.464
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Good,0,7.463,0,0,7.464
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Good,0,7.463,0,0,7.464
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Good,0,7.463,0,0,7.464
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Good,0,7.463,0,0,7.464
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Good,0,7.463,0,0,7.464
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Good,0,7.463,0,0,7.464
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Good,0,7.463,0,0,7.464
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Good,0,7.463,0,0,7.464
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,7.463,0,0,7.464
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,7.463,0,0,7.464
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,7.463,0,0,7.464
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,7.463,0,0,7.464
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Good,0,7.463,0,0,7.464
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Good,0,7.463,0,0,7.464
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Good,0,7.463,0,0,7.464
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Good,0,7.463,0,0,7.464
403,0.15,1,0.5,0.04,0.03,11.5,0,0.6,0,0,0,0,86.18,20,Severe,0,11.195,0,0,11.196
405,0.08,1,1,0.04,0.03,11.5,0,0.6,0,0,0,0.1,85.65,20,Severe,0,11.195,0,0,11.196
S41050,0.04,1,1,0.045,0.03,10.5,0,0.6,0.1,0,0,0,86.685,20,Severe,0,11.195,0,0,11.196
416,0.15,1.25,1,0.06,0.35,12,0,0,0,0,0,0,85.19,20,Severe,0,11.195,0,0,11.196
410,0.15,1,1,0.04,0.03,11.5,0,0.75,0,0,0,0,85.53,20,Severe,0,11.195,0,0,11.196
420,0.15,1,1,0.04,0.03,12,0.5,0.75,0,0,0,0,84.53,20,Severe,0,11.195,0,0,11.196
430F,0.12,1.3,1,0.06,0.35,16,0,0,0,0,0,0,81.17,20,Severe,0,11.195,0,0,11.196
440C,1.2,1,1,0.04,0.03,16,0.75,0,0,0,0,0,79.98,20,Severe,0,11.195,0,0,11.196
S41500,0.05,1,0.6,0.03,0.03,11.5,0.5,3.5,0,0,0,0,82.79,20,Severe,0,11.195,0,0,11.196
409,0.03,1,1,0.04,0.02,11.5,0,0.5,0.03,0.36,0.17,0,85.35,20,Severe,0,11.195,0,0,11.196
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Severe,0,11.195,0,0,11.196
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Severe,0,11.195,0,0,11.196
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Severe,0,11.195,0,0,11.196
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Severe,0,11.195,0,0,11.196
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Severe,0,11.195,0,0,11.196
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Severe,0,11.195,0,0,11.196
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Severe,0,11.195,0,0,11.196
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Severe,0,11.195,0,0,11.196
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Severe,0,11.195,0,0,11.196
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Severe,0,11.195,0,0,11.196
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Severe,0,11.195,0,0,11.196
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Severe,0,11.195,0,0,11.196
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Severe,0,11.195,0,0,11.196
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Severe,0,11.195,0,0,11.196
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Severe,0,11.195,0,0,11.196
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Poor,0,11.195,0,0,11.196
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Poor,0,11.195,0,0,11.196
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Poor,0,11.195,0,0,11.196
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Poor,0,11.195,0,0,11.196
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Poor,0,11.195,0,0,11.196
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Poor,0,11.195,0,0,11.196
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Poor,0,11.195,0,0,11.196
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Poor,0,11.195,0,0,11.196
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Poor,0,11.195,0,0,11.196
403,0.15,1,0.5,0.04,0.03,11.5,0,0.6,0,0,0,0,86.18,20,Severe,0,14.927,0,0,14.928
405,0.08,1,1,0.04,0.03,11.5,0,0.6,0,0,0,0.1,85.65,20,Severe,0,14.927,0,0,14.928
S41050,0.04,1,1,0.045,0.03,10.5,0,0.6,0.1,0,0,0,86.685,20,Severe,0,14.927,0,0,14.928
416,0.15,1.25,1,0.06,0.35,12,0,0,0,0,0,0,85.19,20,Severe,0,14.927,0,0,14.928
410,0.15,1,1,0.04,0.03,11.5,0,0.75,0,0,0,0,85.53,20,Severe,0,14.927,0,0,14.928
420,0.15,1,1,0.04,0.03,12,0.5,0.75,0,0,0,0,84.53,20,Severe,0,14.927,0,0,14.928
430F,0.12,1.3,1,0.06,0.35,16,0,0,0,0,0,0,81.17,20,Severe,0,14.927,0,0,14.928
440C,1.2,1,1,0.04,0.03,16,0.75,0,0,0,0,0,79.98,20,Severe,0,14.927,0,0,14.928
S41500,0.05,1,0.6,0.03,0.03,11.5,0.5,3.5,0,0,0,0,82.79,20,Severe,0,14.927,0,0,14.928
409,0.03,1,1,0.04,0.02,11.5,0,0.5,0.03,0.36,0.17,0,85.35,20,Severe,0,14.927,0,0,14.928
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Severe,0,14.927,0,0,14.928
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Severe,0,14.927,0,0,14.928
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Severe,0,14.927,0,0,14.928
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Severe,0,14.927,0,0,14.928
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Severe,0,14.927,0,0,14.928
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Severe,0,14.927,0,0,14.928
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Severe,0,14.927,0,0,14.928
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Good,0,14.927,0,0,14.928
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Good,0,14.927,0,0,14.928
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Good,0,14.927,0,0,14.928
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Good,0,14.927,0,0,14.928
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Good,0,14.927,0,0,14.928
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Good,0,14.927,0,0,14.928
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Good,0,14.927,0,0,14.928
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Good,0,14.927,0,0,14.928
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Good,0,14.927,0,0,14.928
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,14.927,0,0,14.928
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Good,0,14.927,0,0,14.928
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,14.927,0,0,14.928
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Good,0,14.927,0,0,14.928
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Good,0,14.927,0,0,14.928
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Good,0,14.927,0,0,14.928
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Good,0,14.927,0,0,14.928
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Good,0,14.927,0,0,14.928
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Resistant,0,18.285,0,0,18.2868
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Resistant,0,18.285,0,0,18.2868
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Resistant,0,18.285,0,0,18.2868
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Resistant,0,18.285,0,0,18.2868
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Resistant,0,18.285,0,0,18.2868
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Resistant,0,18.285,0,0,18.2868
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Resistant,0,18.285,0,0,18.2868
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,0,18.285,0,0,18.2868
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Resistant,0,18.285,0,0,18.2868
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,0,18.285,0,0,18.2868
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Resistant,0,18.285,0,0,18.2868
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,0,18.285,0,0,18.2868
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,0,18.285,0,0,18.2868
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Resistant,0,18.285,0,0,18.2868
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Resistant,0,18.285,0,0,18.2868
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Resistant,0,18.285,0,0,18.2868
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Resistant,0,18.285,0,0,18.2868
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Resistant,0,18.285,0,0,18.2868
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,0,18.285,0,0,18.2868
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,0,18.285,0,0,18.2868
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Resistant,0,18.285,0,0,18.2868
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Resistant,0,18.285,0,0,18.2868
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Resistant,0,18.285,0,0,18.2868
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Resistant,0,18.285,0,0,18.2868
403,0.15,1,0.5,0.04,0.03,11.5,0,0.6,0,0,0,0,86.18,20,Good,0,0.052,0,0,0
405,0.08,1,1,0.04,0.03,11.5,0,0.6,0,0,0,0.1,85.65,20,Good,0,0.052,0,0,0
S41050,0.04,1,1,0.045,0.03,10.5,0,0.6,0.1,0,0,0,86.685,20,Good,0,0.052,0,0,0
416,0.15,1.25,1,0.06,0.35,12,0,0,0,0,0,0,85.19,20,Good,0,0.052,0,0,0
410,0.15,1,1,0.04,0.03,11.5,0,0.75,0,0,0,0,85.53,20,Good,0,0.052,0,0,0
420,0.15,1,1,0.04,0.03,12,0.5,0.75,0,0,0,0,84.53,20,Good,0,0.052,0,0,0
430F,0.12,1.3,1,0.06,0.35,16,0,0,0,0,0,0,81.17,20,Good,0,0.052,0,0,0
440C,1.2,1,1,0.04,0.03,16,0.75,0,0,0,0,0,79.98,20,Good,0,0.052,0,0,0
S41500,0.05,1,0.6,0.03,0.03,11.5,0.5,3.5,0,0,0,0,82.79,20,Good,0,0.052,0,0,0
409,0.03,1,1,0.04,0.02,11.5,0,0.5,0.03,0.36,0.17,0,85.35,20,Good,0,0.052,0,0,0
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Resistant,0,0.052,0,0,0
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Resistant,0,0.052,0,0,0
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Resistant,0,0.052,0,0,0
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Resistant,0,0.052,0,0,0
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Resistant,0,0.052,0,0,0
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Resistant,0,0.052,0,0,0
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Resistant,0,0.052,0,0,0
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,0,0.052,0,0,0
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Resistant,0,0.052,0,0,0
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,0,0.052,0,0,0
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Resistant,0,0.052,0,0,0
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,0,0.052,0,0,0
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,0,0.052,0,0,0
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Resistant,0,0.052,0,0,0
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Resistant,0,0.052,0,0,0
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Resistant,0,0.052,0,0,0
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Resistant,0,0.052,0,0,0
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Resistant,0,0.052,0,0,0
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,0,0.052,0,0,0
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,0,0.052,0,0,0
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Resistant,0,0.052,0,0,0
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Resistant,0,0.052,0,0,0
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Resistant,0,0.052,0,0,0
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Resistant,0,0.052,0,0,0
403,0.15,1,0.5,0.04,0.03,11.5,0,0.6,0,0,0,0,86.18,20,Poor,0,0.52,0,0,0
405,0.08,1,1,0.04,0.03,11.5,0,0.6,0,0,0,0.1,85.65,20,Poor,0,0.52,0,0,0
S41050,0.04,1,1,0.045,0.03,10.5,0,0.6,0.1,0,0,0,86.685,20,Poor,0,0.52,0,0,0
416,0.15,1.25,1,0.06,0.35,12,0,0,0,0,0,0,85.19,20,Poor,0,0.52,0,0,0
410,0.15,1,1,0.04,0.03,11.5,0,0.75,0,0,0,0,85.53,20,Poor,0,0.52,0,0,0
420,0.15,1,1,0.04,0.03,12,0.5,0.75,0,0,0,0,84.53,20,Poor,0,0.52,0,0,0
430F,0.12,1.3,1,0.06,0.35,16,0,0,0,0,0,0,81.17,20,Poor,0,0.52,0,0,0
440C,1.2,1,1,0.04,0.03,16,0.75,0,0,0,0,0,79.98,20,Poor,0,0.52,0,0,0
S41500,0.05,1,0.6,0.03,0.03,11.5,0.5,3.5,0,0,0,0,82.79,20,Poor,0,0.52,0,0,0
409,0.03,1,1,0.04,0.02,11.5,0,0.5,0.03,0.36,0.17,0,85.35,20,Poor,0,0.52,0,0,0
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Good,0,0.52,0,0,0
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Good,0,0.52,0,0,0
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Good,0,0.52,0,0,0
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Good,0,0.52,0,0,0
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Resistant,0,0.52,0,0,0
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Resistant,0,0.52,0,0,0
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Resistant,0,0.52,0,0,0
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,0,0.52,0,0,0
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Resistant,0,0.52,0,0,0
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,0,0.52,0,0,0
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Resistant,0,0.52,0,0,0
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,0,0.52,0,0,0
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,0,0.52,0,0,0
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Resistant,0,0.52,0,0,0
